,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steuerjahr,Zivilstand,Abzug Alleinstehend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH
Einkommens-Klasse,Values,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein
,Summe von Einfache Steuer Einkommen,"10,449,545","6,107,450","57,679,957","10,990,992","6,291,524","60,748,031","11,838,791","7,353,503","63,174,918","12,969,063","8,280,266","67,232,739","12,866,169","9,304,263","63,664,743","13,229,014","9,892,099","65,842,209","13,723,025","10,453,762","66,535,833","13,382,440","11,036,000","65,708,859","14,124,718","11,923,413","67,221,876","15,106,787","11,563,119","70,359,271","15,374,356","12,270,625","72,469,677","16,072,850","13,146,133","75,147,163","16,537,725","13,166,084","76,765,544"
150000,Summe von Anzahl,808,428,"5,687",874,486,"5,756",934,603,"6,341","1,023",697,"6,736","1,008",770,"6,937","1,035",769,"7,124","1,030",837,"7,222","1,022",941,"7,403","1,026",964,"7,519","1,153",947,"7,923","1,221","1,036","8,312","1,322","1,078","8,445","1,317","1,085","8,566"
,Summe von Einfache Steuer Einkommen,"5,482,301","2,920,819","34,737,923","5,914,488","3,315,786","35,191,253","6,308,640","4,118,418","38,748,744","6,881,843","4,753,925","41,091,228","6,659,883","5,136,852","41,088,845","6,789,397","5,133,264","42,205,142","6,786,876","5,550,344","42,343,240","6,600,797","6,094,407","42,299,815","6,623,632","6,245,736","42,899,362","7,448,211","6,108,478","45,204,271","7,911,517","6,680,818","47,433,178","8,567,117","6,942,377","48,182,566","8,485,845","6,958,090","48,945,541"
175000,Summe von Anzahl,410,225,"2,784",419,266,"2,966",424,266,"3,214",483,297,"3,366",491,349,"3,507",514,380,"3,569",532,403,"3,611",523,416,"3,729",532,431,"3,859",566,456,"4,042",606,502,"4,327",618,510,"4,381",655,525,"4,503"
,Summe von Einfache Steuer Einkommen,"3,405,962","1,894,046","20,911,089","3,470,723","2,219,198","22,306,796","3,514,293","2,216,610","24,161,283","3,986,313","2,482,004","25,131,399","3,995,865","2,831,788","25,813,099","4,137,964","3,083,831","26,169,210","4,281,489","3,254,284","26,207,770","4,092,079","3,278,934","26,462,142","4,203,440","3,396,506","27,388,192","4,439,918","3,585,010","28,636,502","4,749,931","3,902,911","30,680,063","4,825,075","3,960,686","31,080,325","5,123,993","4,075,993","31,835,918"
200000,Summe von Anzahl,226,139,"1,563",240,175,"1,611",276,180,"1,838",253,199,"1,906",278,203,"1,884",269,213,"2,051",283,201,"2,033",308,229,"2,055",294,258,"2,217",307,243,"2,263",333,271,"2,366",358,287,"2,540",366,321,"2,528"
,Summe von Einfache Steuer Einkommen,"2,224,996","1,384,941","14,017,646","2,370,457","1,736,007","14,454,525","2,722,998","1,777,766","16,466,120","2,460,880","1,976,556","16,934,601","2,668,596","1,963,365","16,540,217","2,576,412","2,072,815","17,964,909","2,646,885","1,945,550","17,654,860","2,866,031","2,165,420","17,389,369","2,703,449","2,406,059","18,787,130","2,834,539","2,260,827","19,160,539","3,076,433","2,521,476","20,072,549","3,318,963","2,663,181","21,486,641","3,380,946","2,967,058","21,369,537"
250000,Summe von Anzahl,246,136,"1,653",279,158,"1,770",291,182,"1,826",302,212,"2,042",308,208,"1,985",334,221,"2,059",324,259,"2,221",328,248,"2,269",327,259,"2,192",330,293,"2,410",356,263,"2,444",356,277,"2,510",403,266,"2,631"
,Summe von Einfache Steuer Einkommen,"2,960,665","1,662,118","18,318,674","3,351,735","1,914,737","19,588,536","3,495,383","2,204,359","20,247,434","3,570,729","2,525,196","22,350,023","3,582,821","2,458,929","21,408,542","3,846,815","2,590,638","22,017,225","3,687,347","2,941,741","23,612,276","3,657,158","2,765,602","23,608,939","3,671,261","2,945,579","22,870,576","3,702,875","3,320,771","25,047,151","4,022,340","3,001,906","25,314,005","4,014,279","3,122,518","26,077,040","4,533,547","2,920,869","27,395,087"
300000,Summe von Anzahl,118,62,785,133,83,851,177,92,915,148,98,987,168,98,"1,014",133,113,986,166,141,"1,027",169,134,"1,079",190,139,"1,113",197,140,"1,179",227,143,"1,173",214,152,"1,244",191,175,"1,243"
